callid,date,agent,dept,answrd,rsolvd,speedansr,avgtlkdur,satisrate,column1
ID0001,01/01/2016 9:12,Diane,Washing Machine,Y,Y,109,0:02:23,3,FALSE
ID0002,01/01/2016 9:12,Becky,Air Conditioner,Y,N,70,0:04:02,3,FALSE
ID0003,01/01/2016 9:47,Stewart,Washing Machine,Y,Y,10,0:02:11,3,FALSE
ID0004,01/01/2016 9:47,Greg,Washing Machine,Y,Y,53,0:00:37,2,FALSE
ID0005,01/01/2016 10:00,Becky,Toaster,Y,Y,95,0:01:00,3,FALSE
ID0006,01/01/2016 10:00,Stewart,Air Conditioner,N,N,,,,FALSE
ID0007,01/01/2016 10:22,Diane,Toaster,Y,Y,24,0:03:40,2,FALSE
ID0008,01/01/2016 10:22,Diane,Toaster,Y,Y,22,0:00:38,4,FALSE
ID0009,01/01/2016 11:13,Greg,Fridge,Y,Y,15,0:06:38,4,FALSE
ID0010,01/01/2016 11:13,Jim,Television,Y,Y,78,0:01:04,3,FALSE
ID0011,01/01/2016 11:15,Joe,Toaster,N,N,,,,FALSE
ID0012,01/01/2016 11:15,Greg,Toaster,Y,Y,50,0:00:32,4,FALSE
ID0013,01/01/2016 11:52,Joe,Toaster,Y,Y,84,0:03:34,3,FALSE
ID0014,01/01/2016 11:52,Martha,Washing Machine,Y,Y,89,0:05:44,3,FALSE
ID0015,01/01/2016 11:55,Becky,Fridge,Y,Y,48,0:03:47,4,FALSE
ID0016,01/01/2016 11:55,Becky,Fridge,Y,Y,63,0:05:26,2,FALSE
ID0017,01/01/2016 11:57,Greg,Air Conditioner,Y,Y,45,0:05:32,5,FALSE
ID0018,01/01/2016 11:57,Becky,Fridge,N,N,,,,FALSE
ID0019,01/01/2016 12:01,Jim,Television,N,N,,,,FALSE
ID0020,01/01/2016 12:01,Jim,Washing Machine,Y,Y,101,0:02:27,3,FALSE
ID0021,01/01/2016 12:02,Jim,Air Conditioner,Y,Y,74,0:05:22,5,FALSE
ID0022,01/01/2016 12:02,Dan,Fridge,Y,Y,89,0:05:50,5,FALSE
ID0023,01/01/2016 12:02,Martha,Air Conditioner,N,N,,,,FALSE
ID0024,01/01/2016 12:02,Joe,Air Conditioner,Y,Y,68,0:05:25,2,FALSE
ID0025,01/01/2016 12:30,Diane,Television,Y,Y,97,0:04:09,3,FALSE
ID0026,01/01/2016 12:30,Dan,Toaster,N,N,,,,FALSE
ID0027,01/01/2016 12:40,Joe,Television,Y,Y,39,0:04:00,3,FALSE
ID0028,01/01/2016 12:40,Martha,Washing Machine,Y,Y,51,0:02:34,4,FALSE
ID0029,01/01/2016 12:40,Joe,Air Conditioner,Y,Y,106,0:02:09,4,FALSE
ID0030,01/01/2016 12:40,Stewart,Television,Y,Y,107,0:05:55,3,FALSE
ID0031,01/01/2016 13:24,Joe,Fridge,Y,Y,22,0:05:08,3,FALSE
ID0032,01/01/2016 13:24,Joe,Television,Y,Y,122,0:02:08,4,FALSE
ID0033,01/01/2016 13:33,Diane,Air Conditioner,Y,Y,57,0:06:49,3,FALSE
ID0034,01/01/2016 13:33,Jim,Toaster,Y,N,53,0:01:44,2,FALSE
ID0035,01/01/2016 13:42,Becky,Television,Y,Y,119,0:01:31,5,FALSE
ID0036,01/01/2016 13:42,Diane,Television,N,N,,,,FALSE
ID0037,01/01/2016 13:42,Martha,Air Conditioner,Y,N,20,0:01:12,2,FALSE
ID0038,01/01/2016 13:42,Joe,Air Conditioner,Y,Y,52,0:00:36,3,FALSE
ID0039,01/01/2016 14:38,Stewart,Washing Machine,Y,Y,74,0:06:41,1,FALSE
ID0040,01/01/2016 14:38,Greg,Air Conditioner,Y,Y,49,0:02:29,3,FALSE
ID0041,01/01/2016 14:47,Jim,Air Conditioner,Y,Y,27,0:02:09,5,FALSE
ID0042,01/01/2016 14:47,Greg,Washing Machine,Y,Y,100,0:04:54,5,FALSE
