date,hawaii,honolulu,maui,kauai,total
2020-03-03,0,0,1,0,1
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,1,0,0,1
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,1,0,0,1
2020-03-10,0,1,0,0,1
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,2,2
2020-03-15,0,3,2,0,5
2020-03-16,0,2,1,0,3
2020-03-17,0,2,0,0,2
2020-03-18,1,4,1,0,6
2020-03-19,0,6,3,0,9
2020-03-20,0,17,0,1,18
2020-03-21,2,7,2,0,11
2020-03-22,0,8,2,0,10
2020-03-23,1,16,2,1,20
2020-03-24,1,13,1,0,15
2020-03-25,0,7,1,1,9
2020-03-26,1,16,2,0,19
2020-03-27,2,13,3,0,18
2020-03-28,5,25,2,6,38
2020-03-29,5,17,6,1,29
2020-03-30,1,25,5,0,31
2020-03-31,0,20,2,0,22
2020-04-01,3,27,2,0,32
2020-04-02,0,25,2,1,28
2020-04-03,2,28,7,2,39
2020-04-04,2,18,2,0,22
2020-04-05,0,9,6,1,16
2020-04-06,1,12,4,1,18
2020-04-07,1,16,4,1,22
2020-04-08,3,11,6,1,21
2020-04-09,0,7,2,0,9
2020-04-10,1,4,6,0,11
2020-04-11,3,5,12,0,20
2020-04-12,5,3,4,2,14
2020-04-13,1,1,2,0,4
2020-04-14,1,4,1,0,6
2020-04-15,0,9,2,0,11
2020-04-16,0,6,5,0,11
2020-04-17,3,4,2,0,9
2020-04-18,16,1,3,0,20
2020-04-19,2,3,3,0,8
2020-04-20,2,0,2,0,4
2020-04-21,1,0,2,0,3
2020-04-22,3,2,1,0,6
2020-04-23,1,2,2,0,5
2020-04-24,1,1,1,0,3
2020-04-25,0,2,0,0,2
2020-04-26,1,1,0,0,2
2020-04-27,0,0,1,0,1
2020-04-28,0,0,1,0,1
2020-04-29,0,3,1,0,4
2020-04-30,3,0,1,0,4
2020-05-01,0,1,0,0,1
2020-05-02,0,0,0,0,0
2020-05-03,1,1,1,0,3
2020-05-04,1,0,0,0,1
2020-05-05,0,3,0,0,3
2020-05-06,1,1,0,0,2
2020-05-07,0,2,0,0,2
2020-05-08,0,0,0,0,0
2020-05-09,0,1,1,0,2
2020-05-10,0,1,0,0,1
2020-05-11,1,2,0,0,3
2020-05-12,0,1,0,0,1
2020-05-13,0,3,0,0,3
2020-05-14,0,0,0,0,0
2020-05-15,0,0,0,0,0
2020-05-16,1,1,0,0,2
2020-05-17,1,0,0,0,1
2020-05-18,0,0,0,0,0
2020-05-19,1,0,0,0,1
2020-05-20,0,1,0,0,1
2020-05-21,3,0,1,0,4
2020-05-22,0,0,0,0,0
2020-05-23,0,0,1,0,1
2020-05-24,0,0,0,0,0
2020-05-25,0,0,0,0,0
2020-05-26,0,0,0,0,0
2020-05-27,0,0,0,0,0
